[2026-04-11 14:26:37,998] 19 root - INFO - Initiate the data ingestion
[2026-04-11 14:26:45,727] 65 root - INFO - Performed train test split on the dataframe
[2026-04-11 14:26:45,728] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-04-11 14:26:45,728] 75 root - INFO - Exporting train and test file path.
[2026-04-11 14:26:45,809] 84 root - INFO - Exported train and test file path.
[2026-04-11 14:26:45,811] 24 root - INFO - data ingestion completed 
[2026-04-11 14:26:45,817] 27 root - INFO - Initiate the data validation
[2026-04-11 14:26:45,916] 25 root - INFO - Required number of columns:2
[2026-04-11 14:26:45,916] 26 root - INFO - Data frame has columns:31
[2026-04-11 14:26:45,918] 25 root - INFO - Required number of columns:2
[2026-04-11 14:26:45,918] 26 root - INFO - Data frame has columns:31
[2026-04-11 14:26:46,130] 29 root - INFO -  data validation completed 
[2026-04-11 14:26:46,131] 32 root - INFO -  data transformation started 
[2026-04-11 14:26:46,132] 66 root - INFO - Entered initiate_data_transformation method of Datatransformation class
[2026-04-11 14:26:46,132] 68 root - INFO - starting data transformation
